sample,fastq_1,fastq_2,fastq_barcode,fastq_1_md5,fastq_2_md5,fastq_barcode_md5
ERR10891889,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/089/ERR10891889/ERR10891889_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/089/ERR10891889/ERR10891889_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/089/ERR10891889/ERR10891889.fastq.gz,da4c7d93a4dbd6cc2348084ac2b3127f,4f4ebbe60a3f1f44dbccb34e2e1ca141,8afe0c93b8417b8f72e33fbc93cb8e42
ERR10891913,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/013/ERR10891913/ERR10891913_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/013/ERR10891913/ERR10891913_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/013/ERR10891913/ERR10891913.fastq.gz,5149865356db337c1291eeca565e69e4,87cef1c9eb2426d887bab75bc1a49a88,05533fa82c4ee166401dab16bf8416d3
ERR10891918,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/018/ERR10891918/ERR10891918_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/018/ERR10891918/ERR10891918_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/018/ERR10891918/ERR10891918.fastq.gz,8960bfe91a17d7c1c39ca07ae281000c,677ec23d8f70d74666bade1388651d6e,52d869fa46d1c14f9ddcf4e6e3be7bbe
ERR10891927,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/027/ERR10891927/ERR10891927_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/027/ERR10891927/ERR10891927_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/027/ERR10891927/ERR10891927.fastq.gz,68743793b37b14ffd4324036db249a37,2b297ef6d7639f5c4a73267cbdb23b2a,ec751382d00a9a0a0e9ebcc2448eb597
ERR10891977,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/077/ERR10891977/ERR10891977_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/077/ERR10891977/ERR10891977_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/077/ERR10891977/ERR10891977.fastq.gz,c25d910b8cd9a7bb2b69e4a5ffa6f627,cc771a5294d41f59309b7f93e77781cf,fcad875b436f8b46a336dcef439d943c
ERR10891979,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/079/ERR10891979/ERR10891979_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/079/ERR10891979/ERR10891979_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/079/ERR10891979/ERR10891979.fastq.gz,c673f033384b450454f57c099b478a45,4d66c76b2195eaddb8ddd6d21cc8a26d,7dd2b9cbebad5dbb295164d7d5b2ddd1
ERR10891980,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10891980/ERR10891980_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10891980/ERR10891980_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10891980/ERR10891980.fastq.gz,6e5fb14beb039230f93a8e0e1dfb0621,571e6479bdb460f9d230e849d8b4860d,956016381c0656b5c703df31510767c8
ERR10892069,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/069/ERR10892069/ERR10892069_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/069/ERR10892069/ERR10892069_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/069/ERR10892069/ERR10892069.fastq.gz,b1a67dd6c308404bc8dc1bf004944149,a67b592414a9d0106f1933a4eb6d7291,07663794d846df0e047a9d7ed4173f74
ERR10892162,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10892162/ERR10892162_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10892162/ERR10892162_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10892162/ERR10892162.fastq.gz,ff8357a54dbc56c0c397e782ba93c68d,26a2a0798de759895addacadac1a57a4,de1626439fd55f7d0a1694ac388fef33
ERR10892188,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/088/ERR10892188/ERR10892188_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/088/ERR10892188/ERR10892188_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/088/ERR10892188/ERR10892188.fastq.gz,8bc437523e396597cc0f7795dc32fa46,950ecf4c454c2af30fbb10c2fe66b374,bf931029962491bf6dd49668b314233b
